Site,Section,Nom_original,Échantillon,Cultivar,Âge,Recépage,Profondeur,Notes,Pourcentage_azote,Pourcentage_carbone,MVA
Boisbriand,1,Phase 4 (non-recépé),BB-1,SX 67,17,Non,H1,Paillis,0.2384,2.46,1.453907664
Boisbriand,1,Phase 4 (non-recépé),BB-2,SX 67,17,Non,H2,Paillis,0.0972,4.02,1.467335546
Boisbriand,1,Phase 4,BB-3,SX 67,17,Oui,H1,,0.1973,1.9,1.453907664
Boisbriand,1,Phase 4,BB-4,SX 67,17,Oui,H2,,0.0915,0.76,1.467335546
Boisbriand,1,Phase 4,BB-5,Témoin ,17,Témoin,H1,,0.3203,3.59,1.294809897
Boisbriand,1,Phase 4,BB-6,Témoin ,17,Témoin,H2,,0.1719,3.54,1.355763428
Boisbriand,2,Phase 5,BB-7,SX 67,16,Oui,H1,,0.2217,2.23,1.453907664
Boisbriand,2,Phase 5,BB-8,SX 67,16,Oui,H2,,0.1039,0.93,1.467335546
Boisbriand,2,Phase 5 (non-recépé),BB-9,SX 67,16,Oui,H1,,0.3242,3.41,1.453907664
Boisbriand,2,Phase 5 (non-recépé),BB-10,SX 67,16,Oui,H2,,0.1741,1.59,1.467335546
Boisbriand,2,Phase 5 (jamais recépé),BB-11,SX 67,16,Non,H1,,0.3122,4.68,1.453907664
Boisbriand,2,Phase 5 (jamas recépé),BB-12,SX 67,16,Non,H2,,0.1134,6.31,1.467335546
Boisbriand,2,Phase 5,BB-13,Témoin ,16,Témoin,H1,,0.31,3.07,1.294809897
Boisbriand,2,Phase 5,BB-14,Témoin ,16,Témoin,H2,,0.1398,2.83,1.355763428
Boisbriand,3,Phase 10,BB-15,SX 67,10,Oui,H1,,0.3261,3.57,1.453907664
Boisbriand,3,Phase 10,BB-16,SX 67,10,Oui,H2,,1.8,9.3865,1.467335546
Boisbriand,3,Phase 10,BB-17,Discolor,10,Oui,H1,,1.82,8.4982,1.453907664
Boisbriand,3,Phase 10,BB-18,Discolor,10,Oui,H2,,0.5,6.8996,1.467335546
Boisbriand,3,Phase 10,BB-19,Fish Creek,10,Oui,H1,,3.05,9.5482,1.453907664
Boisbriand,3,Phase 10,BB-20,Fish Creek,10,Oui,H2,,0.73,6.4822,1.467335546
Boisbriand,3,Phase 10,BB-21,Témoin ,10,Témoin,H1,,2.67,9.3333,1.294809897
Boisbriand,3,Phase 10,BB-22,Témoin ,10,Témoin,H2,,1.71,8.5967,1.355763428
Boisbriand,4,CÉROM,BB-23,SX 67,12,Non,H1,Bloc 2,2.5,9.5032,1.453907664
Boisbriand,4,CÉROM,BB-24,SX 67,12,Non,H2,Bloc 2,1.16,9.4041,1.467335546
Boisbriand,4,CÉROM,BB-25,SX 67,12,Non,H1,Bloc 4,2.35,9.8341,1.453907664
Boisbriand,4,CÉROM,BB-26,SX 67,12,Non,H2,Bloc 4,1.31,8.7679,1.467335546
Boisbriand,4,CÉROM,BB-27,Témoin ,12,Témoin,H1,,2.88,9.465,1.294809897
Boisbriand,4,CÉROM,BB-28,Témoin ,12,Témoin,H2,,1.92,22.1859,1.355763428
Mtl Est 1,7,2,M1-29,Témoin ,7,Témoin,H1,,8.08,14.4273,1.095541642
Mtl Est 1,7,2,M1-30,Témoin ,7,Témoin,H2,,7.46,13.9991,1.186255281
Mtl Est 1,6,3,M1-31,Témoin ,7,Témoin,H1,,7.35,24.3316,1.095541642
Mtl Est 1,6,3,M1-32,Témoin ,7,Témoin,H2,30-45,6.99,22.2064,1.186255281
Mtl Est 1,5,5,M1-33,Témoin ,7,Témoin,H1,,5.82,12.3722,1.095541642
Mtl Est 1,5,5,M1-34,Témoin ,7,Témoin,H2,,6.74,14.1414,1.186255281
Mtl Est 1,6,10 (M1),M1-35,SX 67,7,Oui,H1,,8.44,12.6725,1.284889861
Mtl Est 1,6,10 (M1),M1-36,SX 67,7,Oui,H2,30-45,10.02,17.6079,1.737364212
Mtl Est 1,5,12,M1-37,Témoin ,7,Témoin,H1,,7.1,14.0152,1.095541642
Mtl Est 1,5,12,M1-38,Témoin ,7,Témoin,H2,,6.03,13.2712,1.186255281
Mtl Est 1,6,15,M1-39,Témoin ,7,Témoin,H1,,5.52,10.6612,1.095541642
Mtl Est 1,6,15,M1-40,Témoin ,7,Témoin,H2,30-40,6.17,14.5866,1.186255281
Mtl Est 1,6,10 (Bloc 2 M2),M1-41,SX 67,7,Oui,H1,,9.46,14.0427,1.284889861
Mtl Est 1,6,10 (Bloc 2 M2),M1-42,SX 67,7,Oui,H2,30-45,8.38,13.1205,1.737364212
Mtl Est 1,5,11 (Bloc 1 M2),M1-43,SX 67,7,Oui,H1,,7.79,14.3556,1.284889861
Mtl Est 1,5,11 (Bloc 1 M2),M1-44,SX 67,7,Oui,H2,30-40,7.92,14.8442,1.737364212
Mtl Est 1,5,17 (BS SX67),M1-45,SX 67,7,Oui,H1,,0.3799,4.09,1.284889861
Mtl Est 1,5,17 (BS SX67),M1-46,SX 67,7,Oui,H2,30-45,0.2965,3.04,1.737364212
Mtl Est 1,8,7 (Bloc 4 M1),M1-47,SX 67,7,Oui,H1,,0.5286,10.39,1.284889861
Mtl Est 1,8,7 (Bloc 4 M1),M1-48,SX 67,7,Oui,H2,30-50,0.4089,11.01,1.737364212
Mtl Est 1,8,7 (Bloc 4 M2),M1-49,SX 67,7,Oui,H1,,0.5961,11.62,1.284889861
Mtl Est 1,8,7 (Bloc 4 M2),M1-50,SX 67,7,Oui,H2,30-50,0.4661,10,1.737364212
